dt,average
1987-08-31,118278.43835616433
1987-09-30,118748.98630136982
1987-10-31,119235.21917808214
1987-11-30,119705.76712328763
1987-12-31,120191.99999999996
1988-01-31,120694.77595628411
1988-02-29,121165.11475409832
1988-03-31,121667.89071038247
1988-04-30,122154.44808743165
1988-05-31,122657.2240437158
1988-06-30,123143.78142076498
1988-07-31,123646.55737704913
1988-08-31,124149.33333333328
1988-09-30,124635.89071038246
1988-10-31,125138.66666666661
1988-11-30,125625.22404371579
1988-12-31,126127.99999999994
1989-01-31,126643.19452054788
1989-02-28,127108.53150684925
1989-03-31,127623.72602739719
1989-04-30,128122.30136986295
1989-05-31,128637.4958904109
1989-06-30,129136.07123287665
1989-07-31,129651.2657534246
1989-08-31,130166.46027397254
1989-09-30,130665.0356164383
1989-10-31,131180.23013698624
1989-11-30,131678.80547945198
1989-12-31,132193.99999999994
1990-01-31,132709.87397260268
1990-02-28,133175.8246575342
1990-03-31,133691.69863013693
1990-04-30,134190.93150684927
1990-05-31,134706.805479452
1990-06-30,135206.03835616435
1990-07-31,135721.9123287671
1990-08-31,136237.78630136984
1990-09-30,136737.01917808218
1990-10-31,137252.89315068492
1990-11-30,137752.12602739726
1990-12-31,138268.0
1991-01-31,138789.6493150685
1991-02-28,139260.81643835618
1991-03-31,139782.46575342468
1991-04-30,140287.2876712329
1991-05-31,140808.93698630139
1991-06-30,141313.7589041096
1991-07-31,141835.4082191781
1991-08-31,142357.0575342466
1991-09-30,142861.8794520548
1991-10-31,143383.5287671233
1991-11-30,143888.3506849315
1991-12-31,144410.0
1992-01-31,144924.80327868852
1992-02-29,145406.39344262294
1992-03-31,145921.19672131145
1992-04-30,146419.39344262294
1992-05-31,146934.19672131145
1992-06-30,147432.39344262294
1992-07-31,147947.19672131145
1992-08-31,148461.99999999997
1992-09-30,148960.19672131145
1992-10-31,149474.99999999997
1992-11-30,149973.19672131145
1992-12-31,150487.99999999997
1993-01-31,151003.53424657532
1993-02-28,151469.17808219176
1993-03-31,151984.7123287671
1993-04-30,152483.61643835614
1993-05-31,152999.1506849315
1993-06-30,153498.05479452052
1993-07-31,154013.58904109587
1993-08-31,154529.12328767122
1993-09-30,155028.02739726024
1993-10-31,155543.5616438356
1993-11-30,156042.46575342462
1993-12-31,156557.99999999997
1994-01-31,157082.36712328764
1994-02-28,157555.98904109586
1994-03-31,158080.35616438353
1994-04-30,158587.80821917806
1994-05-31,159112.17534246572
1994-06-30,159619.62739726025
1994-07-31,160143.99452054792
1994-08-31,160668.36164383558
1994-09-30,161175.8136986301
1994-10-31,161700.18082191778
1994-11-30,162207.6328767123
1994-12-31,162731.99999999997
1995-01-31,163267.4931506849
1995-02-28,163751.1643835616
1995-03-31,164286.65753424654
1995-04-30,164804.87671232873
1995-05-31,165340.36986301365
1995-06-30,165858.58904109584
1995-07-31,166394.08219178076
1995-08-31,166929.5753424657
1995-09-30,167447.79452054788
1995-10-31,167983.2876712328
1995-11-30,168501.506849315
1995-12-31,169036.9999999999
1996-01-31,169583.14207650264
1996-02-29,170094.04918032777
1996-03-31,170640.1912568305
1996-04-30,171168.71584699443
1996-05-31,171714.85792349715
1996-06-30,172243.38251366108
1996-07-31,172789.5245901638
1996-08-31,173335.66666666654
1996-09-30,173864.19125683047
1996-10-31,174410.3333333332
1996-11-30,174938.85792349713
1996-12-31,175484.99999999985
1997-01-31,176041.81095890395
1997-02-28,176544.7369863012
1997-03-31,177101.5479452053
1997-04-30,177640.39726027378
1997-05-31,178197.20821917788
1997-06-30,178736.05753424636
1997-07-31,179292.86849315045
1997-08-31,179849.67945205455
1997-09-30,180388.52876712303
1997-10-31,180945.33972602713
1997-11-30,181484.1890410956
1997-12-31,182040.9999999997
1998-01-31,182599.5095890408
1998-02-28,183103.9698630134
1998-03-31,183662.47945205448
1998-04-30,184202.9726027394
1998-05-31,184761.4821917805
1998-06-30,185301.97534246542
1998-07-31,185860.4849315065
1998-08-31,186418.9945205476
1998-09-30,186959.48767123252
1998-10-31,187517.9972602736
1998-11-30,188058.49041095853
1998-12-31,188616.99999999962
1999-01-31,189174.23561643797
1999-02-28,189677.54520547908
1999-03-31,190234.78082191743
1999-04-30,190774.04109589005
1999-05-31,191331.2767123284
1999-06-30,191870.536986301
1999-07-31,192427.77260273937
1999-08-31,192985.00821917772
1999-09-30,193524.26849315033
1999-10-31,194081.50410958868
1999-11-30,194620.7643835613
1999-12-31,195177.99999999965
2000-01-31,195748.2814207647
2000-02-29,196281.77049180295
2000-03-31,196852.051912568
2000-04-30,197403.93715846963
2000-05-31,197974.21857923467
2000-06-30,198526.10382513632
2000-07-31,199096.38524590136
2000-08-31,199666.6666666664
2000-09-30,200218.55191256804
2000-10-31,200788.83333333308
2000-11-30,201340.71857923473
2000-12-31,201910.99999999977
2001-01-31,202496.4328767121
2001-02-28,203025.21095890386
2001-03-31,203610.64383561618
2001-04-30,204177.19178082165
2001-05-31,204762.62465753398
2001-06-30,205329.17260273945
2001-07-31,205914.60547945177
2001-08-31,206500.0383561641
2001-09-30,207066.58630136956
2001-10-31,207652.0191780819
2001-11-30,208218.56712328736
2001-12-31,208803.99999999968
2002-01-31,209398.0109589038
2002-02-28,209934.53698630104
2002-03-31,210528.54794520515
2002-04-30,211103.39726027363
2002-05-31,211697.40821917774
2002-06-30,212272.25753424622
2002-07-31,212866.26849315033
2002-08-31,213460.27945205444
2002-09-30,214035.12876712292
2002-10-31,214629.13972602703
2002-11-30,215203.9890410955
2002-12-31,215797.99999999962
2003-01-31,216424.45479452016
2003-02-28,216990.28493150647
2003-03-31,217616.739726027
2003-04-30,218222.98630136947
2003-05-31,218849.44109589
2003-06-30,219455.68767123247
2003-07-31,220082.14246575302
2003-08-31,220708.59726027356
2003-09-30,221314.84383561602
2003-10-31,221941.29863013656
2003-11-30,222547.54520547902
2003-12-31,223173.99999999956
2004-01-31,223829.827868852
2004-02-29,224443.34426229462
2004-03-31,225099.17213114706
2004-04-30,225733.8442622946
2004-05-31,226389.67213114703
2004-06-30,227024.34426229456
2004-07-31,227680.172131147
2004-08-31,228335.99999999945
2004-09-30,228970.67213114697
2004-10-31,229626.49999999942
2004-11-30,230261.17213114694
2004-12-31,230916.9999999994
2005-01-31,231600.01917808157
2005-02-28,232216.93972602676
2005-03-31,232899.95890410893
2005-04-30,233560.94520547878
2005-05-31,234243.96438356096
2005-06-30,234904.9506849308
2005-07-31,235587.969863013
2005-08-31,236270.98904109516
2005-09-30,236931.975342465
2005-10-31,237614.9945205472
2005-11-30,238275.98082191704
2005-12-31,238958.9999999992
2006-01-31,239666.9890410951
2006-02-28,240306.46301369785
2006-03-31,241014.45205479374
2006-04-30,241699.60273972526
2006-05-31,242407.59178082115
2006-06-30,243092.74246575267
2006-07-31,243800.73150684856
2006-08-31,244508.72054794445
2006-09-30,245193.87123287597
2006-10-31,245901.86027397186
2006-11-30,246587.01095890338
2006-12-31,247294.99999999927
2007-01-31,248017.172602739
2007-02-28,248669.45753424586
2007-03-31,249391.6301369856
2007-04-30,250090.50684931435
2007-05-31,250812.6794520541
2007-06-30,251511.55616438284
2007-07-31,252233.72876712258
2007-08-31,252955.90136986232
2007-09-30,253654.77808219107
2007-10-31,254376.9506849308
2007-11-30,255075.82739725956
2007-12-31,255797.9999999993
2008-01-31,256541.32240437088
2008-02-29,257236.68852458947
2008-03-31,257980.01092896104
2008-04-30,258699.35519125612
2008-05-31,259442.6775956277
